chrom	start	end
NC_018228.1	327	343
NC_018228.1	435	451
NC_018228.1	659	675
NC_018228.1	938	956
NC_018228.1	1045	1061
NC_018228.1	1594	1610
NC_018228.1	1913	1933
NC_018228.1	2066	2088
NC_018228.1	2151	2175
NC_018228.1	2232	2248
NC_018228.1	2375	2391
NC_018228.1	2587	2603
NC_018228.1	2794	2810
NC_018228.1	3222	3238
NC_018228.1	3256	3276
NC_018228.1	3421	3437
NC_018228.1	3450	3466
NC_018228.1	3531	3547
NC_018228.1	4015	4031
NC_018228.1	4391	4409
NC_018228.1	4496	4512
NC_018228.1	4573	4589
NC_018228.1	4626	4642
NC_018228.1	4917	4933
NC_018228.1	5034	5050
NC_018228.1	5600	5616
NC_018228.1	5642	5658
NC_018228.1	5717	5737
NC_018228.1	6224	6242
NC_018228.1	6329	6345
NC_018228.1	6798	6816
NC_018228.1	7060	7078
NC_018228.1	7287	7303
NC_018228.1	7334	7350
NC_018228.1	7505	7523
NC_018228.1	7794	7810
NC_018228.1	7966	7982
NC_018228.1	8216	8234
NC_018228.1	8449	8465
NC_018228.1	8671	8687
NC_018228.1	8905	8921
NC_018228.1	8922	8942
NC_018228.1	8958	8974
NC_018228.1	9157	9173
NC_018228.1	9180	9196
NC_018228.1	9339	9359
NC_018228.1	9644	9660
NC_018228.1	9927	9943
NC_018228.1	10263	10279
NC_018228.1	10305	10323
NC_018228.1	10423	10439
NC_018228.1	10496	10512
NC_018228.1	11053	11069
NC_018228.1	11323	11341
NC_018228.1	11477	11499
NC_018228.1	11510	11526
NC_018228.1	11891	11909
NC_018228.1	11910	11930
NC_018228.1	12188	12204
NC_018228.1	12599	12615
NC_018228.1	12851	12869
NC_018228.1	12930	12946
NC_018228.1	13039	13055
NC_018228.1	13085	13101
NC_018228.1	13204	13226
NC_018228.1	13489	13507
NC_018228.1	13555	13573
NC_018228.1	13681	13697
NC_018228.1	13716	13732
NC_018228.1	13779	13799
NC_018228.1	14228	14244
NC_018228.1	14679	14697
NC_018228.1	14715	14735
NC_018228.1	14887	14911
NC_018228.1	14926	14942
NC_018228.1	14997	15013
NC_018228.1	15604	15620
NC_018228.1	15622	15638
NC_018228.1	15934	15952
NC_018228.1	16013	16029
NC_018228.1	16602	16618
NC_018228.1	16709	16725
NC_018228.1	17487	17503
NC_018228.1	17556	17574
NC_018228.1	18071	18087
NC_018228.1	18148	18164
NC_018228.1	18180	18196
NC_018228.1	18563	18579
NC_018228.1	18750	18766
NC_018228.1	18815	18831
